,cip_code,earnings.highest.1_yr.male_median_earnings,earnings.highest.1_yr.nonmale_median_earnings,earnings.highest.1_yr.overall_median_earnings,earnings.highest.3_yr.male_median_earnings,earnings.highest.3_yr.nonmale_median_earnings,earnings.highest.2_yr.overall_median_earnings,CIPCode,CIPTitle
0,01.00,40786.13333333333,33450.77777777778,37245.88505747127,44577.88461538462,36479.083333333336,36284.22586206897,01.00,"Agriculture, General."
1,01.01,45522.13676470588,41171.57333333333,42977.27638888889,52745.03571428572,48119.10227272727,42363.45549242425,01.01,Agricultural Business and Management.
2,01.02,47853.91666666666,,46811.09722222222,54657.759259259255,,46732.625,01.02,Agricultural Mechanization.
3,01.03,37155.181818181816,24697.81818181818,31324.65873015873,43029.1,30610.38888888889,32066.041666666668,01.03,Agricultural Production Operations.
4,01.04,68447.0,64981.0,54205.5,78507.0,,48990.333333333336,01.04,Agricultural and Food Products Processing.
5,01.05,,25577.555555555555,25809.9,,28841.4375,25869.61111111111,01.05,Agricultural and Domestic Animal Services.
6,01.06,41272.71428571428,26297.5,34436.53571428572,41617.75,,34359.375,01.06,Applied Horticulture and Horticultural Business Services.
7,01.07,,30398.0,35046.0,,,30439.75,01.07,International Agriculture.
8,01.08,41433.0,38462.71428571428,36610.444444444445,45958.333333333336,42735.375,37846.32142857143,01.08,Agricultural Public Services.
9,01.09,39622.92592592593,28431.77978723404,29721.99645390071,44929.34210526316,34589.52222222222,30074.88224637681,01.09,Animal Sciences.
10,01.10,44673.6875,44310.73148148148,44512.68,48984.16666666666,52646.578125,43928.236607142855,01.10,Food Science and Technology.
11,01.11,41679.14666666667,32737.53571428572,38304.00523809524,45876.114583333336,37911.09090909091,37281.94594594595,01.11,Plant Sciences.
12,01.12,44146.2,,43847.66666666666,47540.66666666666,,46300.875,01.12,Soil Sciences.
13,01.13,,,,,,27423.33333333333,,
14,01.80,,,,,,77384.22,,
15,01.81,,,,,,63859.5,,
16,01.83,,22045.0,22317.0,,,29531.06914893617,,
17,01.99,48514.66666666666,34676.5,42781.8125,55890.0,37533.333333333336,44457.66666666666,01.99,"Agriculture, Agriculture Operations, and Related Sciences, Other."
