cip_code,total_graduates,knowledge_rate,career_outcomes_perc,total_perc_employed_overall,total_perc_employed_full_time,total_perc_employed_part_time,perc_standard_employment_overall,perc_standard_full_time,perc_standard_part_time,perc_entrepreneur_overall,perc_entrepreneur_full_time,perc_entrepreneur_part_time,perc_temp_contract_overall,perc_temp_contract_full_time,perc_temp_contract_part_time,perc_freelance_overall,perc_freelance_full_time,perc_freelance_part_time,perc_fellowship_intern_overall,perc_fellowship_intern_full_time,perc_fellowship_intern_part_time,perc_service,perc_military,perc_continuing_ed,perc_seeking_employment,perc_seeking_continuing_ed,perc_not_seeking,mean_starting_salary,year,perc_still_seeking_overall
01.01,1618,74.8,86.9,75.9,72.9,3.0,68.8,66.8,2.1,3.6,3.5,0.1,1.6,1.0,0.6,0.7,0.6,0.1,1.2,1.1,0.2,0.1,0.2,9.9,11.1,1.9,0.9,45862,2016,
01.09,1758,67.6,85.2,54.9,5.8,4.0,47.8,44.8,3.0,2.5,2.4,0.1,1.8,1.5,0.3,0.3,0.3,0.0,2.5,1.9,0.7,0.0,0.1,29.2,1.0,4.6,1.2,3674,2016,
03.01,3646,62.7,73.4,56.2,46.7,9.5,47.1,39.7,7.3,0.7,0.6,0.1,4.3,2.9,1.4,0.2,0.0,0.1,4.0,3.5,0.6,2.6,0.9,12.1,19.3,6.8,2.1,3699,2016,
04.02,1929,64.7,82.8,57.1,54.5,2.6,5.2,48.4,1.8,1.0,1.0,0.0,0.7,0.6,0.1,0.2,0.1,0.1,5.0,4.4,0.6,0.5,0.3,24.0,15.8,1.3,1.0,42818,2016,
05.01,1649,68.8,83.0,58.7,52.5,6.3,49.6,45.1,4.5,0.3,0.2,0.1,3.7,2.8,0.9,0.8,0.4,0.4,4.3,4.0,0.4,2.9,1.9,17.3,1.6,6.0,2.6,464,2016,
09.04,4571,65.7,78.8,69.6,59.9,9.7,6.9,54.2,6.7,0.9,0.7,0.2,2.2,1.2,1.0,1.8,1.0,0.8,3.8,2.8,1.0,0.4,0.0,7.8,19.0,1.9,1.2,35939,2016,
09.07,1199,67.2,8.9,74.4,64.0,1.4,64.4,56.0,8.4,2.1,1.9,0.2,3.0,2.0,1.0,2.7,2.1,0.6,2.2,2.1,0.1,0.4,0.4,3.6,18.2,0.4,2.6,4484,2016,
09.09,5421,71.4,8.9,73.3,65.6,7.7,64.7,59.5,5.2,1.1,0.8,0.3,2.8,1.9,1.0,1.2,0.7,0.5,3.5,2.7,0.7,0.7,0.3,5.9,16.8,2.2,0.7,38162,2016,
11.07,9142,69.8,86.8,76.8,74.0,2.8,72.4,7.5,2.0,1.7,1.3,0.4,1.3,1.2,0.2,0.2,0.1,0.1,1.1,1.0,0.2,0.1,0.4,8.2,11.5,1.5,1.5,78199,2016,
11.10,1764,67.2,8.9,75.1,72.5,2.6,7.5,68.2,2.4,1.0,0.9,0.1,1.4,1.4,0.0,0.2,0.1,0.1,2.0,1.9,0.1,0.1,0.3,4.2,17.6,1.3,1.5,62157,2016,
13.13,3422,62.6,81.5,69.4,61.2,8.2,65.4,58.6,6.8,0.3,0.3,0.0,2.8,1.7,1.0,0.4,0.0,0.4,0.5,0.5,0.0,0.5,0.6,1.0,16.1,2.2,1.1,39193,2016,
14.02,1629,78.5,8.3,54.1,52.3,1.8,53.3,51.6,1.7,0.3,0.3,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.2,0.2,0.0,0.2,7.2,18.2,18.7,0.8,0.9,687,2016,
14.05,2155,79.4,86.8,48.2,46.2,2.0,44.4,43.1,1.3,0.9,0.6,0.2,1.3,1.0,0.3,0.1,0.0,0.1,1.6,1.5,0.2,0.4,0.6,36.6,1.3,2.7,1.2,58348,2016,
14.10,6113,74.1,86.6,64.6,62.7,1.8,61.2,6.0,1.2,1.0,0.8,0.2,1.0,0.8,0.2,0.2,0.1,0.0,1.3,1.1,0.2,0.2,0.6,2.2,11.4,1.9,1.1,795,2016,
14.19,1431,77.2,84.5,67.8,66.1,1.8,64.7,63.4,1.3,0.9,0.7,0.2,0.9,0.8,0.1,0.1,0.1,0.0,1.2,1.0,0.1,0.1,1.3,14.2,14.2,1.1,1.2,64241,2016,
14.25,782,86.6,65.2,46.2,46.1,0.1,45.9,45.8,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,18.0,29.0,5.5,1.0,78541,2016,
14.45,926,75.7,8.6,47.5,44.1,3.4,42.4,39.5,2.9,1.4,1.4,0.0,2.3,2.0,0.3,0.0,0.0,0.0,1.4,1.1,0.3,0.3,0.3,31.2,13.7,5.4,1.6,55166,2016,
15.15,598,78.4,89.3,81.4,79.1,2.3,76.5,74.4,2.1,1.7,1.7,0.0,2.1,1.9,0.2,0.0,0.0,0.0,1.1,1.1,0.0,0.0,0.4,5.3,8.5,1.9,2.3,6531,2016,
15.08,897,68.8,84.8,79.1,76.5,2.6,76.2,74.4,1.8,1.0,0.8,0.2,0.0,0.8,0.5,0.2,0.0,0.2,0.5,0.5,0.0,0.0,1.6,2.6,14.4,0.5,1.8,61141,2016,
16.09,2515,66.2,8.5,53.4,44.6,8.8,45.7,39.4,6.3,0.6,0.6,0.0,3.2,1.9,1.3,0.4,0.2,0.2,3.5,2.5,1.0,4.5,0.5,2.4,11.7,7.3,2.2,38995,2016,
16.01,1437,65.4,75.1,51.4,41.1,1.3,42.6,35.3,7.2,0.5,0.4,0.1,4.8,2.3,2.4,0.2,0.2,0.0,3.3,2.8,0.5,1.7,0.5,19.1,15.1,9.0,3.1,35737,2016,
23.01,775,63.4,8.1,58.4,48.5,9.9,5.3,42.5,7.8,1.1,0.9,0.2,2.9,2.0,0.9,0.9,0.4,0.5,3.1,2.6,0.5,1.8,0.2,18.1,14.6,5.0,1.9,3631,2016,
23.13,1675,75.8,61.0,47.7,38.9,8.7,41.7,35.1,6.5,0.6,0.5,0.2,1.7,1.1,0.6,1.5,0.6,0.9,2.1,1.6,0.6,1.4,0.1,1.3,3.0,8.0,2.4,3445,2016,
23.14,751,69.0,61.3,45.6,39.2,6.4,39.2,34.4,4.8,0.2,0.2,0.0,2.3,1.4,1.0,1.5,1.2,0.4,2.3,2.1,0.2,0.8,0.4,12.5,2.5,17.0,3.3,41559,2016,
26.01,16761,64.8,76.6,4.2,34.8,5.5,35.7,31.2,4.5,0.4,0.3,0.1,2.2,1.6,0.6,0.1,0.1,0.0,1.8,1.6,0.2,1.3,0.4,33.4,1.4,12.7,1.6,34171,2016,
26.02,3991,61.5,76.7,38.1,32.5,5.5,32.0,27.9,4.1,0.6,0.4,0.1,2.8,2.0,0.9,0.2,0.1,0.1,2.5,2.1,0.4,1.1,0.6,35.5,1.2,12.7,1.8,37889,2016,
26.05,1115,64.3,7.5,42.8,38.4,4.5,37.8,35.1,2.6,0.1,0.1,0.0,3.1,1.7,1.4,0.1,0.1,0.0,1.7,1.3,0.4,0.8,0.0,25.5,14.9,14.1,1.8,29762,2016,
26.09,1962,65.4,71.8,34.2,28.4,5.8,3.0,25.8,4.2,0.3,0.2,0.1,2.5,1.2,1.2,0.2,0.2,0.1,1.2,1.0,0.2,0.5,0.8,34.3,1.4,17.1,2.8,347,2016,
26.13,734,67.4,75.7,53.5,43.6,9.9,42.4,33.9,8.5,1.4,1.4,0.0,5.9,4.8,1.0,0.0,0.0,0.0,3.8,3.4,0.4,2.2,0.4,17.6,12.9,1.7,2.6,38896,2016,
27.01,5556,65.7,84.6,53.5,49.6,3.8,49.3,46.4,2.9,0.7,0.6,0.2,1.7,1.4,0.4,0.1,0.1,0.1,1.6,1.2,0.4,0.8,1.0,28.1,11.7,3.5,1.5,59759,2016,
27.03,1134,67.7,73.6,48.2,47.7,0.5,46.1,45.7,0.4,0.1,0.1,0.0,1.0,0.9,0.1,0.1,0.1,0.0,0.8,0.8,0.0,0.3,1.2,23.2,21.4,4.7,1.2,58237,2016,
27.05,643,74.2,81.6,55.1,5.9,4.2,48.4,45.5,2.9,1.0,0.4,0.6,2.3,1.9,0.4,0.0,0.0,0.0,3.4,3.1,0.2,0.6,1.0,24.3,13.8,4.4,0.6,6648,2016,
30.17,533,76.7,94.1,41.8,32.8,9.0,39.4,3.8,8.6,0.5,0.5,0.0,1.0,0.7,0.2,0.0,0.0,0.0,1.0,0.7,0.2,0.5,0.0,51.1,3.4,2.4,0.7,3769,2016,
