,cip_code,total_graduates,knowledge_rate,career_outcomes_perc,total_perc_employed_overall,total_perc_employed_full_time,total_perc_employed_part_time,perc_standard_employment_overall,perc_standard_full_time,perc_standard_part_time,perc_entrepreneur_overall,perc_entrepreneur_full_time,perc_entrepreneur_part_time,perc_temp_contract_overall,perc_temp_contract_full_time,perc_temp_contract_part_time,perc_freelance_overall,perc_freelance_full_time,perc_freelance_part_time,perc_fellowship_intern_overall,perc_fellowship_intern_full_time,perc_fellowship_intern_part_time,perc_service,perc_military,perc_continuing_ed,perc_seeking_employment,perc_seeking_continuing_ed,perc_not_seeking,mean_starting_salary,year,perc_still_seeking_overall,CIPCode,CIPTitle
0,01.01,1618,74.8,86.9,75.9,72.9,3.0,68.8,66.8,2.1,3.6,3.5,0.1,1.6,1.0,0.6,0.7,0.6,0.1,1.2,1.1,0.2,0.1,0.2,9.9,11.1,1.9,0.9,45862,2016,,01.01,Agricultural Business and Management.
1,01.03,92,64.1,84.7,72.9,67.8,5.1,66.1,61.0,5.1,0.0,0.0,0.0,3.4,3.4,0.0,0.0,0.0,0.0,3.4,3.4,0.0,0.0,0.0,11.9,15.3,0.0,0.0,36987,2016,,01.03,Agricultural Production Operations.
2,01.06,179,73.2,9.7,77.9,75.6,2.3,66.4,64.9,1.5,4.6,4.6,0.0,2.3,2.3,0.0,0.8,0.0,0.8,3.8,3.8,0.0,0.0,0.0,11.5,5.3,3.8,1.5,36417,2016,,01.06,Applied Horticulture and Horticultural Business Services.
3,01.08,228,82.0,83.9,64.2,59.9,4.3,58.8,55.6,3.2,1.6,1.6,0.0,1.6,1.1,0.5,1.1,0.5,0.5,1.1,1.1,0.0,0.5,0.0,18.7,14.4,1.6,0.5,36268,2016,,01.08,Agricultural Public Services.
4,01.09,1758,67.6,85.2,54.9,5.8,4.0,47.8,44.8,3.0,2.5,2.4,0.1,1.8,1.5,0.3,0.3,0.3,0.0,2.5,1.9,0.7,0.0,0.1,29.2,1.0,4.6,1.2,3674,2016,,01.09,Animal Sciences.
5,01.10,529,8.7,81.1,53.4,52.2,1.2,5.1,49.4,0.7,0.2,0.2,0.0,0.7,0.5,0.2,0.0,0.0,0.0,2.3,2.1,0.2,0.5,0.0,26.5,11.7,7.0,0.9,39346,2016,,01.10,Food Science and Technology.
6,01.11,419,8.0,89.0,66.6,62.4,4.2,55.5,52.8,2.7,3.9,3.9,0.0,3.3,2.4,0.9,0.6,0.6,0.0,3.3,2.7,0.6,0.3,0.3,2.0,7.5,3.3,2.1,38818,2016,,01.11,Plant Sciences.
7,03.01,3646,62.7,73.4,56.2,46.7,9.5,47.1,39.7,7.3,0.7,0.6,0.1,4.3,2.9,1.4,0.2,0.0,0.1,4.0,3.5,0.6,2.6,0.9,12.1,19.3,6.8,2.1,3699,2016,,03.01,Natural Resources Conservation and Research.
8,03.02,424,62.0,84.0,64.6,55.9,8.7,52.9,47.1,5.7,1.1,1.1,0.0,4.6,3.4,1.1,0.8,0.4,0.4,5.3,3.8,1.5,1.9,3.0,12.5,14.8,0.8,2.3,38622,2016,,03.02,Natural Resources Management and Policy.
9,03.03,15,66.0,75.8,62.6,55.6,7.1,46.5,41.4,5.1,1.0,1.0,0.0,1.1,8.1,2.0,0.0,0.0,0.0,5.1,5.1,0.0,2.0,0.0,11.1,23.2,1.0,0.0,33556,2016,,03.03,Fishing and Fisheries Sciences and Management.
10,03.05,292,74.0,93.5,87.5,87.0,0.5,82.4,81.9,0.5,1.4,1.4,0.0,3.7,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,4.2,6.0,0.5,0.9,36471,2016,,03.05,Forestry.
11,03.06,37,54.3,8.4,67.7,57.2,1.4,48.3,43.8,4.5,0.5,0.5,0.0,13.9,1.4,3.5,0.0,0.0,0.0,5.0,2.5,2.5,1.5,1.5,9.0,14.9,4.5,1.0,25248,2016,,03.06,Wildlife and Wildlands Science and Management.
