institution	cip	degree_level	program
Purdue	1.0000	undergraduate	B.S. in Agriculture
Purdue	1.0101	undergraduate	B.S. in Agribusiness
Purdue	1.0103	undergraduate	B.S. in Agricultural Economics
Purdue	1.0104	undergraduate	B.S. in Farm Management
Purdue	1.0201	undergraduate	B.S. in Agricultural Systems Management
Purdue	1.0308	undergraduate	B.S. in Agronomy
Purdue	1.0607	undergraduate	B.S. in Turf Science and Management
Purdue	1.0802	undergraduate	B.S. in Agricultural Communication
Purdue	1.0901	undergraduate	B.S. in Animal Science
Purdue	1.1001	undergraduate	B.S. in Food Science/Nutrition
Purdue	1.1102	undergraduate	B.S. in Agronomy & Crop Science
Purdue	1.1103	undergraduate	B.S. in Horticulture
Purdue	1.1201	undergraduate	B.S. in Soil and Hydrologic Science
Purdue	1.8301	undergraduate	B.S. in Veterinary Nursing
Purdue	3.0101	undergraduate	B.S. in Natural Resources and Environmental Scienc
Purdue	3.0301	undergraduate	B.S. in Wildlife/Fishery Science
Purdue	3.0501	undergraduate	B.S.F. in Forestry
Purdue	4.0601	undergraduate	B.S. in Landscape Architecture
Purdue	5.0102	undergraduate	B.A. in American Studies
Purdue	5.0103	undergraduate	B.A. in Asian Studies
Purdue	5.0126	undergraduate	B.A. in Italian Studies
Purdue	5.0201	undergraduate	B.A. in African American Studies
Purdue	5.0207	undergraduate	"B.A. in Women, Gender & Sexuality Studies"
Purdue	9.0100	undergraduate	B.A. in Communication
Purdue	11.0102	undergraduate	B.S. in Artificial Intelligence
Purdue	11.0103	undergraduate	B.S. in Computer and Information Technology
Purdue	11.0701	undergraduate	B.S. in Computer Science
Purdue	11.0803	undergraduate	B.S. in Computer Graphics Technology
Purdue	11.1003	undergraduate	B.S. in Cybersecurity
Purdue	13.0101	undergraduate	B.A. in General Education
Purdue	13.1099	undergraduate	B.A. in Special Education and Teaching
Purdue	13.1202	undergraduate	B.A. in Elementary Education
Purdue	13.121	undergraduate	B.S. in Early Childhood Education
Purdue	13.1301	undergraduate	B.S. in Agriculture Secondary Education
Purdue	13.1302	undergraduate	B.A. in Visual Arts Education
Purdue	13.1305	undergraduate	B.A. in English Education
