institution,degree_level,program,courses,descriptions
University of Houston,undergraduate,"Accounting, B.B.A.","Cost Accounting Financial Reporting Frameworks Intermediate Accounting I Intermediate Accounting II Accounting Information Systems Federal Income Tax-Individual Financial Statement Auditing First Year Writing I First Year Writing II Connecting Bauer to Business Introduction to Psychology Introduction to Sociology Introduction to Computers and Management Information Systems Finite Math with Applications Calculus for Business and the Life Sciences Calculus I Accounting Principles 1 - Financial Accounting Principles 2 -Managerial Microeconomic Principles Macroeconomic Principles Statistical Analysis for Business Applications I The United States To 1877 The U S To 1877 The U S Since 1877 The United States Since 1877 U.S. and Texas Constitution and Politics U.S. Government: Congress, President, and Courts Supply Chain Management Fundamentals Principles of Financial Management Introduction to Organizational Behavior and Management Introduction to Marketing Professional Selling Business and Professional Communication Introduction to Global Business Global Environment of Business Business Law and Ethics","A review and expansion on issues associated with traditional product-costing methods and recognize the need for changing existing management accounting systems to calculate more accurate product costs and better cost information. Introduction to GAAP and IFRS standard setting processes and frameworks. Accounting process and its application. Accounting organizations, the conceptual framework of accounting, the accounting process, basic financial statements, and the time value of money. Financial theory and practice in accounting for assets. Financial theory and practice in accounting for liabilities, shareholders’ equity, earnings per share, and special disclosure topics. Accounting systems, including file, program, control, and system structures. Taxation of individuals and property transactions. Financial statement auditing standards and procedures, internal control, working papers, and report writing. TCCNS Equivalent: ENGL 1301 TCCNS Equivalent: ENGL 1302 Note: Credit not given for both GENB 3302 and GENB 3301. Students who change their major to business with credit for GENB 3301 may substitute it for GENB 3302 and must meet the business writing evaluation requirement. TCCNS Equivalent: PSYC 2301 TCCNS Equivalent: SOCI 1301 Fundamental concepts of information systems used in business including the use of computer tools to aid in business decision making. TCCNS Equivalent: MATH 1324 TCCNS Equivalent: MATH 1325 TCCNS Equivalent: MATH 2413 TCCNS Equivalent: ACCT 2301 TCCNS Equivalent: ACCT 2302 TCCNS Equivalent: ECON 2302 TCCNS Equivalent: ECON 2301 Random variables and their probability distributions; sampling distributions; point and interval estimation; hypothesis testing; correlation and linear regression. Core Category: [60] American History TCCNS Equivalent: HIST 1301 TCCNS Equivalent: HIST 1302 Core Category: [60] American History TCCNS Equivalent: GOVT 2306 TCCNS Equivalent: GOVT 2305 Concepts and techniques used to plan, source, make and deliver products and services meeting customer needs in a global environment. Topics include supply chain strategy, forecasting, inventory management, logistics, and operations management, among others. Time value of money, principles of corporate financial management and investments. Note: Credit for both MANA 3335 and MANA 3333: 3334 cannot be applied toward a degree. Analysis of the political, social, legal, and economic environments. Formulation of strategies and tactics for the design, pricing, channels, and promotion of products/services. Basic concepts of selling. Intended for juniors and seniors in business and the professions. Communication activities in business and professional settings with emphasis on oral presentations, interviews, negotiations, and group processes. Introduction to the concepts, institutions, and events associated with the globalization of business. Political issues and economic trends that influence and are influenced by the process of globalization, and an analysis of how globalization interacts with the nation-state and economic institutions. Core Category: [81] Writing in the Disciplines"
University of Houston,undergraduate,"Advertising, B.A.",Media and Society Communication Law & Ethics Writing for Print and Digital Media Principles of Integrated Communication Advertising Copywriting Media Planning & Placement Advertising Account Planning Advertising Campaign Competition Integrated Communication Campaigns Fundamentals of Public Speaking Fundamentals of Media Production Editing for Print and Digital Media Multimedia Production I Graphics Applications Desktop Publishing Effective Meeting Management Advanced Public Speaking Information & Communication Technologies I Business and Professional Communication Leadership Communication & Organizations Advertising Sales Global & Multicultural Advertising Principles of Public Relations Strategic Social Media Persuasion Information and Communication Technologies II Integrated Communication Campaigns Digital Public Relations and Advertising Public Relations Campaigns Advertising Portfolio Strategic Communication Applications Professional Internship Selected Topics Communication Independent Study Introduction to Marketing,"TCCNS Equivalent: COMM 1307 Developments changing communication: legislative, legal and ethical issues relative to First Amendment rights and philosophical issues. TCCNS Equivalent: COMM 2311 Advertising theories and techniques within an integrated communication context. Techniques of writing and developing advertisements for offline and online media. Application of media planning principles to create an integrated communications plan. May be repeated once for credit. Application of creative media and strategic advertising principles in developing a complete advertising campaign for national competition. Application of integrated communication principles to develop and execute a campaign. TCCNS Equivalent: SPCH 1315 Fundamentals of current and emerging production techniques in media industries. Editing messages such as public relations, advertising, news, features for print, broadcast, digital media; headline and caption writing; introduction to publication design; photo use and cropping; graphics, visuals. Fundamentals aspects of computer-based multimedia production for mass media and corporate applications. Application of computer graphics and type principles in print journalism, advertising, art, and public relations. History, theory, and practice of page layout and design using a computer. Creation and manipulation of computer graphics for print media and use of desktop systems to produce camera-ready copy. Procedures for planning and conducting meetings, including large conventions, board meetings, and informal committees. Advanced experiences in research, development, presentation of public addresses with emphasis on rhetorical criticism. Internet and basic transactions across the World Wide Web in the convergent mass communication computing environment. Explores the intersection and implications of information and communication technologies. Intended for juniors and seniors in business and the professions. Communication activities in business and professional settings with emphasis on oral presentations, interviews, negotiations, and group processes. Leadership communication in organizational contexts. Theories and types of leadership, power, influence, diversity, ethics, leadership development, and related communication behaviors and activities. Typically Offered: Fall Study of the major concepts of international advertising and their importance to global marketing and communication activities around the world, the history and current state of international and cross-cultural advertising practice, and the influence of cultural factors on international and cross-cultural advertising and communication practices. Public relations theories and techniques in business, government, and the social services. Study of issues at the intersection of strategic communication and social media, including how social media is used by organizations and brands. Theories, methods, and ethics of persuasion and social influence. Mass communication and the Internet: advanced tools for publishing corporate communication in cyberspace. Application of integrated communication principles to develop and execute a campaign. Incorporation of the Internet into integrated communication. Advertising models, promotion activities, relationship marketing and research methodology. Web audience measurement and Internet user characteristics and behavior. Public relations campaign strategies and case histories, including the design and partial implementation of a public relations program for selected clients. Developing a portfolio to show student-produced work in advertising. Course may be repeated once for elective credit. Note: May be repeated once for elective credit. Note: May be repeated for credit with approval of advisor when topics vary. Prerequisite: None. Departmental approval and consent of instructor. Analysis of the political, social, legal, and economic environments. Formulation of strategies and tactics for the design, pricing, channels, and promotion of products/services."
University of Houston,undergraduate,"African American Studies, B.A.",Introduction to African American Studies African American Studies Oral History and Field Research African American Studies Community Internship Seminar in African American Studies African Spiritual Transformation in the Social Sciences Slavery and Race Relations in the African Diaspora African Nationalist Thought and Ethics in the U.S. The Black Church in America Seminar on W.E.B. DuBois Black Leaders of the Twentieth Century Introduction to Africana Culture Introduction to African Religions and Philosophy Black Liberation Theology The History of Black Education Hip Hop History and Culture African American Experience through Theatre Seminar in African American Sociolinguistics African Americans and the Law Africana Thought and Philosophy Africana Oratory Selected Topics Afr Am Stdy African Philosophy Model African Union Seminar,"Core Category: [40] Language, Philosophy, & Culture Development of oral history as a discipline and its use in developing sources for African American and Africans history. Practical training in oral interviewing techniques through field work. Provides minors in African American Studies with supervised practice and educational experiences to study, express, or resolve contemporary issues impacting African and African-descended communities. Historical, intellectual, and professional foundations of African American Studies. Cultural world views that shape perceptions, thoughts, feelings, behavior, and thus human experience of Africana phenomena. Emphasizing Africana culture, this course will use social science data to investigate the epistemological aspects of critical analysis, communal self-reflection and introspection of the human experience. The black experience in the Americas outside of the U.S. Historical and geographical aspects of black life and race relations, both during and after slavery, contrasted with European and Native American experiences. Common themes traced using the cross-cultural approach among Africana ethnic groups. Various intellectual traditions and historical developments that contribute to the quest by African people to build or recover cultural sovereignty within the U.S. The institutional church’s role in the life of black Americans and influence in the black community. Writings and ideas of W.E.B. DuBois from an interdisciplinary perspective. Study of selected twentieth century African American leaders examining issues and schema of race, gender, and class. The leaders and their relationship in mass social movement. Survey of Africana culture in Americas and throughout the world by examining its origins and development from an African-centered point of reference. Traditional African religions and philosophy. Core Category: [40] Language, Philosophy, & Culture Prerequisite(s): AAS 2320: Introduction to African American Studies. This course is designed to explore the texts that early writers produced to chronicle the contributions of African Americans to the making of America and relevant contributions to black education. Hip Hop as a cultural phenomena, expression, and experience for African American people. Critical analysis and issues relevant to contemporary works of African-American playwrights in historical and sociological contexts. Significant theories and arguments concerning the genesis, maintenance, and social function of African American English. Changing and diverse character of the African American speech community as described by dialectologists, sociolinguists, and Creologists. Historical and contemporary analyses of American laws and constitutional decisions affecting African Americans from slavery to the present. Political and social philosophies which have shaped the struggle for Black liberation in the United States; strategies and ideologies such as integration, cultural assimilation, nonviolence, passive resistance, direct action, and Pan-Africanism; thoughts and ideas of Africana leadership figures throughout the global diaspora. Representative African and African American oratory throughout history. Lecture Contact Hours: 3    Lab Contact Hours: 0 Historical and contemporary African philosophical/theological concepts: cosmological, metaphysical, ontological, and ethical world view. Historic and political process of the design and maintenance of the African Union. Requires travel to Washington, D.C. to participate in the Model African Union conference. Students to defray expenses for air travel and lodging."
University of Houston,undergraduate,"American Sign Language Interpreting, B.A.",Intermediate American Sign Language I Intermediate American Sign Language II History of Interpreting Multiculturalism & Diversity in ASL Interpreting Consecutive Interpreting and Translation Simultaneous Interpreting I Simultaneous Interpreting II Advanced American Sign Language Advanced Interpreting Techniques and Skills in ASL/English Literature in American Sign Language American Sign Language Transliteration and Educational Interpreting Comparative study of ASL and English Linguistics Service Learning - Internship History and Culture of American Deaf Community History and Culture of American Deaf Community,"TCCNS Equivalent: SGNL 2301 TCCNS Equivalent: SGNL 2302 Overview of interpreting and translation discipline.  Historical roots of interpreting for deaf community analyzed. Analysis of cultural diversity and how it impacts the work of interpreters, both linguistically and paralinguistically. Emphasis will be placed on subcultures within the Deaf and hard-of-hearing communities. Models of interpreting theory and the process of consecutive interpreting will be explored. Intralingual ability will be emphasized. Cognitive processing skills will be analyzed and practiced for translation skill development.  Theoretical strategies for interpreting simultaneously between spoken English and American Sign Language will be introduced. Lab included for intensive interlingual practice.  Enhanced techniques for skill development when interpreting simultaneously between spoken/written English and American Sign Language. Lab included for intensive inter-lingual practice Linguistic competence is emphasized by modeling, analyzing and dissecting complex language techniques of American Sign Language including classifiers, depiction, mouth morphemes, narration, idiomatic language and description ability. Increasing task demands and complex communication contexts are emphasized. Note: This course may be repeated for credit. The interpreter’s role with educators, interpreting issues related to school-age students, and federal regulations related to interpreting. Linguistic analysis between spoken/written English and American Sign Language. Syntax, grammar, and other linguistic elements will be explored. May be repeated multiple times. Historical overview of the American Deaf community and its evolving culture. Theoretical frameworks from sociology are explored. Historical overview of the American Deaf community and its evolving culture. Theoretical frameworks from sociology are explored."
University of Houston,undergraduate,"Anthropology, B.A.","Logic I Western Civilization to 1450 Western Civilization From 1450 Introduction to Philosophy Introduction to Ethics Ancient and Medieval Political Thought Foundations of Modern Politics Greek Political Thought Microeconomic Principles Macroeconomic Principles World Realms Introduction to Political Theory Introduction to Comparative Politics Introduction to Psychology Introduction to Social Psychology Introduction to Sociology Foundations in American Political Thought Law and Society Introduction to Constitutional Law Constitutional Law: Civil Liberties Legislative Processes Abnormal Psychology The Sociology of Deviance Criminology Introduction to Cultural Anthropology Introduction to Language and Culture Psychological Anthropology Anthropology of Women Anthropology of Religion Theories of Culture Advanced Composition Law, Society, and Morality Argumentation and Debate Introduction to Cultural Anthropology Introduction to Physical Anthropology Introduction to Archaeology Introduction to Language and Culture Theories of Culture","TCCNS Equivalent: PHIL 2303 TCCNS Equivalent: HIST 2311 TCCNS Equivalent: HIST 2312 TCCNS Equivalent: PHIL 1301 TCCNS Equivalent: PHIL 2306 Core Category: [40] Language, Philosophy, & Culture A survey of major works of political theory from 16th through 19th centuries, including Machiavelli, Hobbes, Locke, Hume, Rousseau, Marx. A study of Greek political thought of the fifth and fourth centuries B.C. This course emphasizes analytical writing. (Political Theory category.) TCCNS Equivalent: ECON 2302 TCCNS Equivalent: ECON 2301 Examination of the interactions between people, cultures, and natural surroundings. Core Category: [81] Writing in the Disciplines Core Category: [80] Social & Behavioral Sciences TCCNS Equivalent: PSYC 2301 Issues and findings in social behavior, interpersonal influences, group membership, and the relations between persons and social systems. TCCNS Equivalent: SOCI 1301 Core Category: [81] Writing in the Disciplines Core Category: [80] Social & Behavioral Sciences American constitutional law using major Supreme Court cases and other materials. American constitutional principles related to the area of civil rights and civil liberties. Organization, operation, behavior, and functions of American legislatures; emphasis usually on Congress. Core Category: [81] Writing in the Disciplines The relationship of social structure to deviant behavior with specific reference to criminality, delinquency, mental disorder, drug addiction, and alcoholism. Theories of the origins of criminality - biological, psychological, and sociological; their logic, methodology, and data. TCCNS Equivalent: ANTH 2351 Core Category: [81] Writing in the Disciplines Concepts and methods in Cross-cultural study of personality. Topics include mental illness in comparative perspective. The status of women in cross-cultural perspectives. Core Category: [81] Writing in the Disciplines Historical development of anthropological thought, with emphasis on contemporary theoretical systems. Undergraduate credit only. Practice in prose rhetoric, especially in formal and informal essays, popular and professional articles, and critical reviews. An introduction to philosophy of law. Topics include the nature, function, and moral evaluation of law and legal systems. Theory and practice in the art of advocacy involving analysis, arrangement, and presentation of arguments for the purpose of decision making and social control. TCCNS Equivalent: ANTH 2351 TCCNS Equivalent: ANTH 2301 TCCNS Equivalent: ANTH 2302 Core Category: [81] Writing in the Disciplines Historical development of anthropological thought, with emphasis on contemporary theoretical systems."
University of Houston,undergraduate,"Anthropology, B.S.","Logic I Western Civilization to 1450 Western Civilization From 1450 Introduction to Philosophy Introduction to Ethics Ancient and Medieval Political Thought Foundations of Modern Politics Greek Political Thought Microeconomic Principles Macroeconomic Principles World Realms Introduction to Political Theory Introduction to Comparative Politics Introduction to Psychology Introduction to Social Psychology Introduction to Sociology Foundations in American Political Thought Law and Society Introduction to Constitutional Law Constitutional Law: Civil Liberties Legislative Processes Abnormal Psychology The Sociology of Deviance Criminology Introduction to Cultural Anthropology Introduction to Language and Culture Psychological Anthropology Anthropology of Women Anthropology of Religion Theories of Culture Advanced Composition Law, Society, and Morality Argumentation and Debate Introduction to Cultural Anthropology Introduction to Physical Anthropology Introduction to Archaeology Introduction to Language and Culture Theories of Culture","TCCNS Equivalent: PHIL 2303 TCCNS Equivalent: HIST 2311 TCCNS Equivalent: HIST 2312 TCCNS Equivalent: PHIL 1301 TCCNS Equivalent: PHIL 2306 Core Category: [40] Language, Philosophy, & Culture A survey of major works of political theory from 16th through 19th centuries, including Machiavelli, Hobbes, Locke, Hume, Rousseau, Marx. A study of Greek political thought of the fifth and fourth centuries B.C. This course emphasizes analytical writing. (Political Theory category.) TCCNS Equivalent: ECON 2302 TCCNS Equivalent: ECON 2301 Examination of the interactions between people, cultures, and natural surroundings. Core Category: [81] Writing in the Disciplines Core Category: [80] Social & Behavioral Sciences TCCNS Equivalent: PSYC 2301 Issues and findings in social behavior, interpersonal influences, group membership, and the relations between persons and social systems. TCCNS Equivalent: SOCI 1301 Core Category: [81] Writing in the Disciplines Core Category: [80] Social & Behavioral Sciences American constitutional law using major Supreme Court cases and other materials. American constitutional principles related to the area of civil rights and civil liberties. Organization, operation, behavior, and functions of American legislatures; emphasis usually on Congress. Core Category: [81] Writing in the Disciplines The relationship of social structure to deviant behavior with specific reference to criminality, delinquency, mental disorder, drug addiction, and alcoholism. Theories of the origins of criminality - biological, psychological, and sociological; their logic, methodology, and data. TCCNS Equivalent: ANTH 2351 Core Category: [81] Writing in the Disciplines Concepts and methods in Cross-cultural study of personality. Topics include mental illness in comparative perspective. The status of women in cross-cultural perspectives. Core Category: [81] Writing in the Disciplines Historical development of anthropological thought, with emphasis on contemporary theoretical systems. Undergraduate credit only. Practice in prose rhetoric, especially in formal and informal essays, popular and professional articles, and critical reviews. An introduction to philosophy of law. Topics include the nature, function, and moral evaluation of law and legal systems. Theory and practice in the art of advocacy involving analysis, arrangement, and presentation of arguments for the purpose of decision making and social control. TCCNS Equivalent: ANTH 2351 TCCNS Equivalent: ANTH 2301 TCCNS Equivalent: ANTH 2302 Core Category: [81] Writing in the Disciplines Historical development of anthropological thought, with emphasis on contemporary theoretical systems."
University of Houston,undergraduate,"Applied Music, B.M.",Performance Pedagogy Advanced Performance Pedagogy Internship in Piano Teaching I Internship in Piano Teaching II Aural Skills I Aural Skills II Aural Skills III Aural Skills IV Theory I Theory II Collaborative Keyboard Theory III Techniques of Music Since 1900 Music and Culture History of Music I History of Music II History of Music III Advanced Sight Reading for Keyboard Players Introduction to Large Forms Analysis Keyboard Harmony Chamber Music Independent Study Choral Conducting I Instrumental Conducting I Aural Skills I Aural Skills II Aural Skills III Aural Skills IV Theory I Theory II Collaborative Keyboard Theory III Techniques of Music Since 1900 Music and Culture History of Music I History of Music II History of Music III Advanced Sight Reading for Keyboard Players Introduction to Large Forms Analysis Keyboard Harmony Chamber Music Independent Study Choral Conducting I Instrumental Conducting I Performance Pedagogy Aural Skills I Aural Skills II Aural Skills III Aural Skills IV Theory I Theory II Theory III Techniques of Music Since 1900 Music and Culture History of Music I History of Music II History of Music III Advanced Sight Reading for Keyboard Players Introduction to Large Forms Analysis Keyboard Harmony Choral Conducting I Performance Pedagogy Independent Study Group Piano I Group Piano II Aural Skills I Aural Skills II Aural Skills III Aural Skills IV Theory I Theory II Theory III Techniques of Music Since 1900 Music and Culture History of Music I History of Music II History of Music III Introduction to Large Forms Analysis Chamber Music Independent Study Instrumental Conducting I Performance Pedagogy Group Piano I Group Piano II Group Piano III Group Piano IV Aural Skills I Aural Skills II Aural Skills III Aural Skills IV Theory I Theory II Vocal Diction Theory III Techniques of Music Since 1900 Music and Culture History of Music I History of Music II History of Music III Introduction to Large Forms Acting for Opera Independent Study Choral Conducting I Performance Pedagogy Art Song Repertoire,"Prerequisite: junior standing in applied music (MUSA). An exploration of methods, materials, teaching techniques, and strategies for individual and group instruction for intermediate to early advanced piano students. Includes an introduction to teaching musical style and performance practice of the standard teaching repertoire. Guided teaching of beginner level students through supervised scenarios designed by the instructor. This course offers students the opportunity to apply teaching techniques and employ problem solving strategies within the individual instructional setting. Includes a focus on sequencing beginning technical instruction. Prerequisite: Junior standing in music. Successful completion of MUSI 4250, MUSI 4251 & MUSI 4160. Introduction to solfege, melodic and harmonic dictation. Aural skills exercises in diatonic materials, simple meters. Continuation of MUSI 1170, through modal mixture and diatonic sevenths; compound meter; decorative chromaticism; alto clef. Tenor clef; secondary dominants; elementary modulation; more advanced rhythmic problems, including borrowed divisions. Advanced chromaticism; remote modulation; quintuple meters; introduction to twentieth century materials, including modes and multimeter Review of musical rudiments; harmony and voice-leading through submediant and mediant chords; figured bass; cadences and phrase structure; basic analysis; elementary composition. Harmony and voice-leading through modal mixture, secondary dominants and modulation; periodic structures; further analysis and composition. May be repeated for a maximum of four semester hours. Harmony and voice-leading through linear chords, the Neapolitan and augmented sixths, advanced modulation, ninth chords; binary form; more advanced modulation and composition Study of compositional practices of the twentieth century and later, through analysis and composition exercises. TCCNS Equivalent: MUSI 1309 Core Category: [50] Creative Arts Survey of western classical music from the Classical period through Wagner. Survey of western classical music from Wagner to the present. Advanced techniques in reading Introduction to the study of larger musical forms of the eighteenth through twentieth centuries; introduction to the analysis of contrapuntal textures. Analysis of selected musical literature. Theory at the keyboard, harmonization, improvisation, figured bass, and keyboard techniques. May be repeated for credit beyond degree requirements with approval of director of the School of Music. May be repeated for credit. May be repeated for credit. Fundamental aspects of gesture in choral conducting, particularly physiology, preparation, the proper execution of beat patterns, cuing, and releases. Introduces rudimentary score marking and score study. Fundamental aspects of gesture in instrumental conducting, hierarchical listening, ensemble sound production and pitch, collective breathing techniques, basic score study, and rehearsal planning and pacing. Introduction to solfege, melodic and harmonic dictation. Aural skills exercises in diatonic materials, simple meters. Continuation of MUSI 1170, through modal mixture and diatonic sevenths; compound meter; decorative chromaticism; alto clef. Tenor clef; secondary dominants; elementary modulation; more advanced rhythmic problems, including borrowed divisions. Advanced chromaticism; remote modulation; quintuple meters; introduction to twentieth century materials, including modes and multimeter Review of musical rudiments; harmony and voice-leading through submediant and mediant chords; figured bass; cadences and phrase structure; basic analysis; elementary composition. Harmony and voice-leading through modal mixture, secondary dominants and modulation; periodic structures; further analysis and composition. May be repeated for a maximum of four semester hours. Harmony and voice-leading through linear chords, the Neapolitan and augmented sixths, advanced modulation, ninth chords; binary form; more advanced modulation and composition Study of compositional practices of the twentieth century and later, through analysis and composition exercises. TCCNS Equivalent: MUSI 1309 Core Category: [50] Creative Arts Survey of western classical music from the Classical period through Wagner. Survey of western classical music from Wagner to the present. Advanced techniques in reading Introduction to the study of larger musical forms of the eighteenth through twentieth centuries; introduction to the analysis of contrapuntal textures. Analysis of selected musical literature. Theory at the keyboard, harmonization, improvisation, figured bass, and keyboard techniques. May be repeated for credit beyond degree requirements with approval of director of the School of Music. May be repeated for credit. May be repeated for credit. Fundamental aspects of gesture in choral conducting, particularly physiology, preparation, the proper execution of beat patterns, cuing, and releases. Introduces rudimentary score marking and score study. Fundamental aspects of gesture in instrumental conducting, hierarchical listening, ensemble sound production and pitch, collective breathing techniques, basic score study, and rehearsal planning and pacing. Prerequisite: junior standing in applied music (MUSA). Introduction to solfege, melodic and harmonic dictation. Aural skills exercises in diatonic materials, simple meters. Continuation of MUSI 1170, through modal mixture and diatonic sevenths; compound meter; decorative chromaticism; alto clef. Tenor clef; secondary dominants; elementary modulation; more advanced rhythmic problems, including borrowed divisions. Advanced chromaticism; remote modulation; quintuple meters; introduction to twentieth century materials, including modes and multimeter Review of musical rudiments; harmony and voice-leading through submediant and mediant chords; figured bass; cadences and phrase structure; basic analysis; elementary composition. Harmony and voice-leading through modal mixture, secondary dominants and modulation; periodic structures; further analysis and composition. Harmony and voice-leading through linear chords, the Neapolitan and augmented sixths, advanced modulation, ninth chords; binary form; more advanced modulation and composition Study of compositional practices of the twentieth century and later, through analysis and composition exercises. TCCNS Equivalent: MUSI 1309 Core Category: [50] Creative Arts Survey of western classical music from the Classical period through Wagner. Survey of western classical music from Wagner to the present. Advanced techniques in reading Introduction to the study of larger musical forms of the eighteenth through twentieth centuries; introduction to the analysis of contrapuntal textures. Analysis of selected musical literature. Theory at the keyboard, harmonization, improvisation, figured bass, and keyboard techniques. Fundamental aspects of gesture in choral conducting, particularly physiology, preparation, the proper execution of beat patterns, cuing, and releases. Introduces rudimentary score marking and score study. Prerequisite: junior standing in applied music (MUSA). May be repeated for credit. Introduction to piano playing for music majors without previous keyboard training. Introduction to piano playing for music majors without previous keyboard training. Introduction to solfege, melodic and harmonic dictation. Aural skills exercises in diatonic materials, simple meters. Continuation of MUSI 1170, through modal mixture and diatonic sevenths; compound meter; decorative chromaticism; alto clef. Tenor clef; secondary dominants; elementary modulation; more advanced rhythmic problems, including borrowed divisions. Advanced chromaticism; remote modulation; quintuple meters; introduction to twentieth century materials, including modes and multimeter Review of musical rudiments; harmony and voice-leading through submediant and mediant chords; figured bass; cadences and phrase structure; basic analysis; elementary composition. Harmony and voice-leading through modal mixture, secondary dominants and modulation; periodic structures; further analysis and composition. Harmony and voice-leading through linear chords, the Neapolitan and augmented sixths, advanced modulation, ninth chords; binary form; more advanced modulation and composition Study of compositional practices of the twentieth century and later, through analysis and composition exercises. TCCNS Equivalent: MUSI 1309 Core Category: [50] Creative Arts Survey of western classical music from the Classical period through Wagner. Survey of western classical music from Wagner to the present. Introduction to the study of larger musical forms of the eighteenth through twentieth centuries; introduction to the analysis of contrapuntal textures. Analysis of selected musical literature. May be repeated for credit beyond degree requirements with approval of director of the School of Music. May be repeated for credit. May be repeated for credit. Fundamental aspects of gesture in instrumental conducting, hierarchical listening, ensemble sound production and pitch, collective breathing techniques, basic score study, and rehearsal planning and pacing. Prerequisite: junior standing in applied music (MUSA). Introduction to piano playing for music majors without previous keyboard training. Introduction to piano playing for music majors without previous keyboard training. Development of the ability to use the piano in a functional way for analysis, accompanying, and arranging. Development of the ability to use the piano in a functional way for analysis, accompanying, and arranging. Introduction to solfege, melodic and harmonic dictation. Aural skills exercises in diatonic materials, simple meters. Continuation of MUSI 1170, through modal mixture and diatonic sevenths; compound meter; decorative chromaticism; alto clef. Tenor clef; secondary dominants; elementary modulation; more advanced rhythmic problems, including borrowed divisions. Advanced chromaticism; remote modulation; quintuple meters; introduction to twentieth century materials, including modes and multimeter Review of musical rudiments; harmony and voice-leading through submediant and mediant chords; figured bass; cadences and phrase structure; basic analysis; elementary composition. Harmony and voice-leading through modal mixture, secondary dominants and modulation; periodic structures; further analysis and composition. May be repeated for credit. Harmony and voice-leading through linear chords, the Neapolitan and augmented sixths, advanced modulation, ninth chords; binary form; more advanced modulation and composition Study of compositional practices of the twentieth century and later, through analysis and composition exercises. TCCNS Equivalent: MUSI 1309 Core Category: [50] Creative Arts Survey of western classical music from the Classical period through Wagner. Survey of western classical music from Wagner to the present. Introduction to the study of larger musical forms of the eighteenth through twentieth centuries; introduction to the analysis of contrapuntal textures. Basics of acting in a solo situation with the added dimension of music. Topics include physical awareness, improvisation, focus, gesture, dramatic and musical analysis, and style of presentation in auditions and concerts. Lecture, presentations, critiques, and in-class exercises. May be repeated for credit. Fundamental aspects of gesture in choral conducting, particularly physiology, preparation, the proper execution of beat patterns, cuing, and releases. Introduces rudimentary score marking and score study. Prerequisite: junior standing in applied music (MUSA). Note: Not an advanced literature elective."
University of Houston,undergraduate,"Architecture, B.Arch.","Introduction to Architecture Design, Industrial Design, & Interior Arch Design Studio I First Year Writing I The U S To 1877 College Algebra Design Since 1945 Design Studio II First Year Writing II The U S Since 1877 Precalculus Architecture and Interior Architecture Design Studio III Technology I Survey of Architectural History I Introductory General Physics I Architecture Design Studio IV Technology 2 Survey of Architectural History II Programming & Bldg Regulations Introductory General Physics II Architecture Design Studio V Technology 3 U.S. and Texas Constitution and Politics Architecture Design Studio VI Technology 4 U.S. Government: Congress, President, and Courts Comprehensive Design Studio Urban Environments Technology 5 Architecture Design Studio IX Technology 6 Practice of Architecture Architecture Design Studio IX Technology 7 Architecture Design Studio IX","Introduction to architecture, industrial design, and interior architecture theory, history, technology, and practice. Additional Fee $2.00 Fee Type Lab Fee TCCNS Equivalent: ENGL 1301 TCCNS Equivalent: HIST 1301 TCCNS Equivalent: MATH 1314 Core Category: [81] Writing in the Disciplines Analysis of spatial strategies, ordering systems, and design communication through analog and digital means. Introduction to the design process. TCCNS Equivalent: ENGL 1302 TCCNS Equivalent: HIST 1302 TCCNS Equivalent: MATH 2312 Additional Fee $2.00 Fee Type Lab Fee Additional Fee $2.00 Fee Type Lab Fee Additional Fee $2.00 Fee Type Lab Fee TCCNS Equivalent: PHYS 1301 Development of design process and communication media; qualifying and quantifying aspects of building design. Intermediate level building science. Core Category: [50] Creative Arts Preparation of a program for an architectural project, including client and user needs, space and equipment requirements, site conditions, relevant laws and standards, and site selection and design assessment criteria. TCCNS Equivalent: PHYS 1302 Additional Fee $2.00 Fee Type Lab Fee Additional Fee $2.00 Fee Type Lab Fee TCCNS Equivalent: GOVT 2306 A continuation of ARCH 3500 with special emphasis on the development of diverse building program in individual studios. Intermediate level building science focusing on quantitative measures. TCCNS Equivalent: GOVT 2305 Additional Fee $2.00 Fee Type Lab Fee History of eastern and western architecture and art from 1750 to the present with attention to cultural, philosophical and technical influences. Advanced building science focusing on integrative design process, materials, and delivery process. Additional Fee $2.00 Fee Type Lab Fee Office operations and project administration in the practice of architecture. Additional Fee $2.00 Fee Type Lab Fee Research in architectural topics. Additional Fee $2.00 Fee Type Lab Fee"
University of Houston,undergraduate,"Art History, B.A.",,
University of Houston,undergraduate,"Art, B.A.",Art and Society: Prehistoric to Gothic Art and Society: Renaissance to Modern Fundamentals of Drawing Fundamentals of Sculpture Fundamentals-Painting Fundamentals of Ceramics Fundamentals of Photography/Digital Media Fundamental of Digital Tools,"TCCNS Equivalent: ARTS 1303 TCCNS Equivalent: ARTS 1304 TCCNS Equivalent: ARTS 1316 Sculptural media, processes, and concepts. Elements and principles that form the basis of 3D Design and Sculpture, tools and techniques to make unique objects. An introduction to the basic perceptual and technical problems involved in various painting media. Ceramic design and basic forming and firing techniques. Basic perceptual and technical issues of lens-generated imagery. Introduction to working with pixel and vector based images at a digital workstation."
