,Institution,Degree_Level,Program,Course_Codes,Course_Names,Course_Descriptions,CIP
0,University of Memphis,Graduate,Accounting - (MS),ACCT 7050 | ACCT 7521 | ACCT 7140 | ACCT 7211 | ACCT 7322,Corp Governance/Bus Ethics ** | Taxation/Bus Entities | Financial Statement Analysis ** | Advanced Financial Reporting ** | Advanced Managerial ACCT **,"Description Detailed analysis of the role of corporate governance in the free enterprise system and capital markets; focused consideration of moral principles, ethical standards, and corporate code of business ethics. Standard Letter | (6520). Description Introduction to the federal income taxation of corporations, partnerships, estates, and trusts.  PREREQUISITE(S): ACCT 3510 or ACCT 4521 or ACCT 6521 or permission of instructor. | Description Examining fmancial statements in the context of identifying the financial information available to analysts as well as techniques useful in transforming this basic information into forms more useful for analysis. PREREQUISITE(S): ACCT 2010 or ACCT 7080. | Description Business combinations; accounting methods for consolidated financial statements; foreign transactions and accounting for foreign subsidiaries; partnership accounting. PREREQUISITE(S): ACCT 3120 with a grade of “C” or better. | 6320 Description Evolution of management accounting: functional tools used my manager/controllers; written and oral communication skills in the context of management accounting.  Students will develop accounting data analytic skills and apply them to business setting using business cases. PREREQUISITE(S): ACCT 3120, ACCT 3310.",32.52
1,University of Memphis,Graduate,"Accounting - Data Analytics Concentration, (MS)",ACCT 7050 | ACCT 7521 | ACCT 7140 | ACCT 7211 | ACCT 7322 | MIS 7605 | MIS 7190 | MIS 7620 | MIS 7621 | MIS 7660,Corp Governance/Bus Ethics ** | Taxation/Bus Entities | Financial Statement Analysis ** | Advanced Financial Reporting ** | Advanced Managerial ACCT ** | Bus Database Systems ** | Programing For Business | Business Machine Learning I ** | Business Machine Learning II | Advanced Data Management,"Description Detailed analysis of the role of corporate governance in the free enterprise system and capital markets; focused consideration of moral principles, ethical standards, and corporate code of business ethics. Standard Letter | (6520). Description Introduction to the federal income taxation of corporations, partnerships, estates, and trusts.  PREREQUISITE(S): ACCT 3510 or ACCT 4521 or ACCT 6521 or permission of instructor. | Description Examining fmancial statements in the context of identifying the financial information available to analysts as well as techniques useful in transforming this basic information into forms more useful for analysis. PREREQUISITE(S): ACCT 2010 or ACCT 7080. | Description Business combinations; accounting methods for consolidated financial statements; foreign transactions and accounting for foreign subsidiaries; partnership accounting. PREREQUISITE(S): ACCT 3120 with a grade of “C” or better. | 6320 Description Evolution of management accounting: functional tools used my manager/controllers; written and oral communication skills in the context of management accounting.  Students will develop accounting data analytic skills and apply them to business setting using business cases. PREREQUISITE(S): ACCT 3120, ACCT 3310. | Description Management of database for effective support of management information systems. Topics include characteristics and design of schemas and subschemas for hierarchical, network, and relational data models. | Description Fundamentals of programming for business projects, including Internet-based business applications and object-oriented programming languages. PREREQUISITE(S): permission of instructor. | Description Business Intelligence is the study of computerized support for management decision making. Topics include data mining, artificial neural networks, text and web mining, data warehousing, expert systems, and knowledge management. | Description This advanced course in business analytics goes into depth in techniques and methods applied to real world problems and data. Techniques covered include: artificial neural networks, decision trees, nearest neighbor approaches, predictive modeling, and genetic algorithms. The emphasis will be on application in business. The course will provide guidance on building the business case and the model including problem definition and data evaluation, and evaluation of the modal. Hands-on exercises will be required using analytics packages/languages as Tableau, Rapid Miner, IBM Modeler, Microsoft SQL, R.  PREREQUISITE(S) or COREQUISITE(S): MIS 7620 or instructor permission. | Description Advanced concepts in data management and in the strategic use of data. Topics will be selected from data strategy, business intelligence, data mining and the strategic use of data warehouses, data quality, the business value of data, unstructured data, modern data administration, master data management, data management in cloud computing, data issues in agile development, and other contemporary data topics.",32.52
2,University of Memphis,Graduate,"Accounting - General Accounting Concentration, (MS)",ACCT 7050 | ACCT 7521 | ACCT 7140 | ACCT 7211 | ACCT 7322 | ACCT 7242 | ACCT 7412 | ACCT 7626 | ACCT 7627 | ACCT 7510 | MIS 7605 | MIS 7190 | MIS 7620 | MIS 7621 | MIS 7660,Corp Governance/Bus Ethics ** | Taxation/Bus Entities | Financial Statement Analysis ** | Advanced Financial Reporting ** | Advanced Managerial ACCT ** | Advanced Auditing ** | Legal/Acctg Aspects Entrep | Financial Report/Audit Stand ** | Regulatory/Business Envrnmnt ** | Tax Research & Theory | Bus Database Systems ** | Programing For Business | Business Machine Learning I ** | Business Machine Learning II | Advanced Data Management,"Description Detailed analysis of the role of corporate governance in the free enterprise system and capital markets; focused consideration of moral principles, ethical standards, and corporate code of business ethics. Standard Letter | (6520). Description Introduction to the federal income taxation of corporations, partnerships, estates, and trusts.  PREREQUISITE(S): ACCT 3510 or ACCT 4521 or ACCT 6521 or permission of instructor. | Description Examining fmancial statements in the context of identifying the financial information available to analysts as well as techniques useful in transforming this basic information into forms more useful for analysis. PREREQUISITE(S): ACCT 2010 or ACCT 7080. | Description Business combinations; accounting methods for consolidated financial statements; foreign transactions and accounting for foreign subsidiaries; partnership accounting. PREREQUISITE(S): ACCT 3120 with a grade of “C” or better. | 6320 Description Evolution of management accounting: functional tools used my manager/controllers; written and oral communication skills in the context of management accounting.  Students will develop accounting data analytic skills and apply them to business setting using business cases. PREREQUISITE(S): ACCT 3120, ACCT 3310. | (0551)(6241). Description Auditing of computer-based accounting systems; emphasis on audit software and computer auditing techniques used to evaluate accounting system controls and test accounting data integrity; nature and use of expert systems in accounting with emphasis on their use as an audit tool. PREREQUISITE(S): ACCT 3120 PREREQUISITE(S) or COREQUISITE(S): ACCT 4240. | Description Prepares students to understand the regulatory framework for establishing a firm, legal forms of a business such as sole proprietorship, partnership, S corporation, and LLC; study of federal securities regulations, accounting, auditing, taxes, financial reporting, and uses of accounting data. The course also covers contract law, cyber law, copyrights and patents, ethics and social entrepreneurship. | Description Theory and practice of financial accounting and reporting for profit and non-profit entities, including governments; auditing and attestation standards and procedures. PREREQUISITE(S): permission of the School of Accountancy. | Description Theory and practice of regulatory and business environments; nature and types of common business structures; technology in business environment; business laws and regulatory issues; taxation of businesses; individuals and property transactions. PREREQUISITE(S): permission of the School of Accountancy. | Description Advanced study of federal taxation with emphasis on tax research methodology and various theoretical precepts; integration of basic tax knowledge with skillful tax research to accomplish desired ethical tax objectives. PREREQUISITE(S): ACCT 7521. | Description Management of database for effective support of management information systems. Topics include characteristics and design of schemas and subschemas for hierarchical, network, and relational data models. | Description Fundamentals of programming for business projects, including Internet-based business applications and object-oriented programming languages. PREREQUISITE(S): permission of instructor. | Description Business Intelligence is the study of computerized support for management decision making. Topics include data mining, artificial neural networks, text and web mining, data warehousing, expert systems, and knowledge management. | Description This advanced course in business analytics goes into depth in techniques and methods applied to real world problems and data. Techniques covered include: artificial neural networks, decision trees, nearest neighbor approaches, predictive modeling, and genetic algorithms. The emphasis will be on application in business. The course will provide guidance on building the business case and the model including problem definition and data evaluation, and evaluation of the modal. Hands-on exercises will be required using analytics packages/languages as Tableau, Rapid Miner, IBM Modeler, Microsoft SQL, R.  PREREQUISITE(S) or COREQUISITE(S): MIS 7620 or instructor permission. | Description Advanced concepts in data management and in the strategic use of data. Topics will be selected from data strategy, business intelligence, data mining and the strategic use of data warehouses, data quality, the business value of data, unstructured data, modern data administration, master data management, data management in cloud computing, data issues in agile development, and other contemporary data topics.",32.52
3,University of Memphis,Graduate,"Accounting - Taxation Concentration, (MS)",ACCT 7050 | ACCT 7521 | ACCT 7140 | ACCT 7211 | ACCT 7322 | ACCT 7510 | ACCT 7511 | ACCT 7242 | ACCT 7412 | ACCT 7626 | ACCT 7627 | MIS 7605 | MIS 7190 | MIS 7620 | MIS 7621 | MIS 7660,Corp Governance/Bus Ethics ** | Taxation/Bus Entities | Financial Statement Analysis ** | Advanced Financial Reporting ** | Advanced Managerial ACCT ** | Tax Research & Theory | Tax- Partnships/Prtnrs ** | Advanced Auditing ** | Legal/Acctg Aspects Entrep | Financial Report/Audit Stand ** | Regulatory/Business Envrnmnt ** | Bus Database Systems ** | Programing For Business | Business Machine Learning I ** | Business Machine Learning II | Advanced Data Management,"Description Detailed analysis of the role of corporate governance in the free enterprise system and capital markets; focused consideration of moral principles, ethical standards, and corporate code of business ethics. Standard Letter | (6520). Description Introduction to the federal income taxation of corporations, partnerships, estates, and trusts.  PREREQUISITE(S): ACCT 3510 or ACCT 4521 or ACCT 6521 or permission of instructor. | Description Examining fmancial statements in the context of identifying the financial information available to analysts as well as techniques useful in transforming this basic information into forms more useful for analysis. PREREQUISITE(S): ACCT 2010 or ACCT 7080. | Description Business combinations; accounting methods for consolidated financial statements; foreign transactions and accounting for foreign subsidiaries; partnership accounting. PREREQUISITE(S): ACCT 3120 with a grade of “C” or better. | 6320 Description Evolution of management accounting: functional tools used my manager/controllers; written and oral communication skills in the context of management accounting.  Students will develop accounting data analytic skills and apply them to business setting using business cases. PREREQUISITE(S): ACCT 3120, ACCT 3310. | Description Advanced study of federal taxation with emphasis on tax research methodology and various theoretical precepts; integration of basic tax knowledge with skillful tax research to accomplish desired ethical tax objectives. PREREQUISITE(S): ACCT 7521. | Description Tax law organization, operation, and liquidation of partnerships; general overview of Subchapter K, acquisitions of partnership interests, basis of partner’s partnership interest, taxation of partnership operations, transfers of partnership interests, partnership distributions, death or retirement of partner, adjustments to basis of partnership assets. PREREQUISITE(S): ACCT 7510 or permission of the instructor. | (0551)(6241). Description Auditing of computer-based accounting systems; emphasis on audit software and computer auditing techniques used to evaluate accounting system controls and test accounting data integrity; nature and use of expert systems in accounting with emphasis on their use as an audit tool. PREREQUISITE(S): ACCT 3120 PREREQUISITE(S) or COREQUISITE(S): ACCT 4240. | Description Prepares students to understand the regulatory framework for establishing a firm, legal forms of a business such as sole proprietorship, partnership, S corporation, and LLC; study of federal securities regulations, accounting, auditing, taxes, financial reporting, and uses of accounting data. The course also covers contract law, cyber law, copyrights and patents, ethics and social entrepreneurship. | Description Theory and practice of financial accounting and reporting for profit and non-profit entities, including governments; auditing and attestation standards and procedures. PREREQUISITE(S): permission of the School of Accountancy. | Description Theory and practice of regulatory and business environments; nature and types of common business structures; technology in business environment; business laws and regulatory issues; taxation of businesses; individuals and property transactions. PREREQUISITE(S): permission of the School of Accountancy. | Description Management of database for effective support of management information systems. Topics include characteristics and design of schemas and subschemas for hierarchical, network, and relational data models. | Description Fundamentals of programming for business projects, including Internet-based business applications and object-oriented programming languages. PREREQUISITE(S): permission of instructor. | Description Business Intelligence is the study of computerized support for management decision making. Topics include data mining, artificial neural networks, text and web mining, data warehousing, expert systems, and knowledge management. | Description This advanced course in business analytics goes into depth in techniques and methods applied to real world problems and data. Techniques covered include: artificial neural networks, decision trees, nearest neighbor approaches, predictive modeling, and genetic algorithms. The emphasis will be on application in business. The course will provide guidance on building the business case and the model including problem definition and data evaluation, and evaluation of the modal. Hands-on exercises will be required using analytics packages/languages as Tableau, Rapid Miner, IBM Modeler, Microsoft SQL, R.  PREREQUISITE(S) or COREQUISITE(S): MIS 7620 or instructor permission. | Description Advanced concepts in data management and in the strategic use of data. Topics will be selected from data strategy, business intelligence, data mining and the strategic use of data warehouses, data quality, the business value of data, unstructured data, modern data administration, master data management, data management in cloud computing, data issues in agile development, and other contemporary data topics.",32.52
4,University of Memphis,Graduate,"Art Education (K-12) Licensure, (MAT)",ART 7421 | ART 7411 | ART 7423,Positive Yth Devlp thru Arts | Methods for Elem Art | Methods Art Second Schools,"Description Introduction to an asset or strength-based model for promoting positive youth development; investigates exemplary models of collaborative, interdisciplinary, cross-cultural creative arts programs for urban youth; students submit a process portfolio documenting their experiences. PREREQUISITE(S): Permission of instructor. | Description Introduction to skills, methods, and content for teaching a comprehensive art education program in an elementary setting; includes studio and art appreciation activities, emphasizing materials and methods for children’s art expression and development. NOTE: May include field experience and background check at student’s expense. | Description Studio activities and related art education issues relevant to artistic development of adolescents; emphasizes multicultural concerns, practical classroom management skills, and a variety of art teaching methods and evaluation systems. NOTE: May require fieldwork and background check at student’s expense. PREREQUISITE(S): Permission of instructor.",30.5
5,University of Memphis,Graduate,"Art History - African American - African Diaspora Art Histories, (MA)",ARTH 6183 | ARTH 6185 | ARTH 7000 | ARTH 7140 | ARTH 7150 | ARTH 7165,Visual Arts Of Africa | African American Art | Semn Art/Vis Cult Afr/Afr Dias | Grad Prob Renaissance | Grad Prob th Century | Gr Prob Am Art Anc/Mod,"Description Survey of arts of African continent from pre-historic to modern eras; African aesthetic traditions examined in relation to social and cultural contexts. | Description Introduction to African American visual expression and culture from Colonial to modern eras, covering fine arts, photography, film, and popular culture. | Description Interdisciplinary seminar exploring art and visual culture in a diversity of geographical contexts and historical periods. Topics will vary and may include: the arts of post-colonial Africa, contemporary African American art, the festival arts of the Caribbean, or imaging race in nineteenth century European art and visual culture. | Description Selected areas or specific problems of Renaissance Art. May be repeated for a maximum of 12 hours when topic varies. Grades of A-F, or IP will be given. May be repeated for a maximum of 12 hours when topic varies Grades of A-F, or IP will be given. | Description Selected areas or specific problems in Nineteenth Century Art. May be repeated for a maximum of 12 hours when topic varies. Grades of A-F, or IP will be given. May be repeated for a maximum of 12 hours when topic varies Grades of A-F, or IP will be given. | Description Selected areas or specific problems in Pre-Columbian, North American Indian, Spanish Colonial, or American Art. May be repeated for a maximum of 12 hours when topic varies.Grades of A-F, or IP will be given. May be repeated for a maximum of 12 hours when topic varies. Grades of A-F, or IP will be given.",30.5
6,University of Memphis,Graduate,"Art History - Egyptian Art and Archaeology, (MA)",ARTH 6123 | ARTH 7130 | ARTH 7996 | ARTH 6111 | ARTH 6112 | ARTH 6113 | ARTH 7115 | ARTH 7116,Greek Art | Art Hist Methods & Prac | Thesis | Art/Arch Egypt | Egypt Art-Old Kingdom | Egypt Art-New Kingdom | Middle Egyptian I | Middle Egyptian II,"Description Architecture, sculpture, and painting from the Bronze Age to the end of the Hellenistic period. | Description History of the discipline along with current research methods. Students develop research presentations in oral and written formats. | Description Preparation and defense of a thesis prepared under direction of major professor. Studio Art thesis requires an exhibition. Grades of S, U, or IP will be given. Grades of S, U, or IP will be given. | Description Pre-dynastic to Late Period. | Description Art, architecture, and archaeology, 3000-1500 BC. | Description Art, architecture, and archaeology, 1500 BC. to 642 AD. | Description Grammar and translation of hieroglyphs. | Description Readings in hieroglyphs PREREQUISITE(S): ARTH 7115 or equivalent.",30.5
7,University of Memphis,Graduate,"Art History - General Art History, (MA)",ARTH 6381 | ARTH 6660 | ARTH 6661 | ARTH 6662 | ARTH 7661 | ARTH 7662,Art Curatorial Tech | Museum Collections ** | Collections Research | Museum Exhibitions ** | Museum Practices ** | Museums & Communities **,"Description Concentrates on curatorial responsibilities and functions, receiving and shipping methods, registration, physical and environmental security, research, conservation, and a study of the art market and publications. | Cross listing (Same as ANTH 6660) Description Museum collection theory and methods, including collection policy, development, preservation, documentation, and interpretation. PREREQUISITE(S): Permission of instructor. | Cross listing (Same as ANTH 6661) Description Introduces students in object-based disciplines to museum collections research methods and their applications to exhibitions, catalogs, and scholarly publications. PREREQUISITE(S): Permission of instructor. | Cross listing (Same as ANTH 6662) Description Museum exhibition methods and theory, including research, design, layout, object selection and handling, installation, public programing, and evaluation. PREREQUISITE(S): Permission of instructor. | Cross listing (Same as ANTH 7661) Description Museum administration, finance, collection management, conservation, education, exhibition design, marketing, and visitor services. PREREQUISITE(S): Permission of instructor. | Cross listing (Same as ANTH 7662) Description History and theory of museums, governance, audiences, and current topics in the profession. PREREQUISITE(S): Permission of instructor.",30.5
8,University of Memphis,Graduate,"Art History - Museum Practices, (MA)",ARTH 7661 | ARTH 7662 | ARTH 7669 | ARTH 7120 | ARTH 7121 | ARTH 7125 | ARTH 7140 | ARTH 7165 | ARTH 7660 | ARTH 6123 | ARTH 6166 | ARTH 7130 | ARTH 7996,Museum Practices ** | Museums & Communities ** | Museum Internship ** | Grad Prob Medieval Art | Grad Prob Ancient Art | Egyptian Art & Arch | Grad Prob Renaissance | Gr Prob Am Art Anc/Mod | Dir Indiv Study | Greek Art | American Art: s-s | Art Hist Methods & Prac | Thesis,"Cross listing (Same as ANTH 7661) Description Museum administration, finance, collection management, conservation, education, exhibition design, marketing, and visitor services. PREREQUISITE(S): Permission of instructor. | Cross listing (Same as ANTH 7662) Description History and theory of museums, governance, audiences, and current topics in the profession. PREREQUISITE(S): Permission of instructor. | Cross listing (Same as ANTH 7669) Description Structured experience in selected aspects of museum practice. Includes 150 contract hours in museum and colloquium. May be repeated for a maximum of 6 credit hours. May be repeated for a maximum of 6 credit hours PREREQUISITE(S): ANTH 7661, ANTH 7662 and/or permission of instructor Grades of A-F, or IP will be given. | Description Selected areas or specific problems in Early Medieval, Romanesque, or Gothic Art. May be repeated for a maximum of 12 hours when topic varies. Grades of A-F, or IP will be given. May be repeated for a maximum of 12 hours when topic varies Grades of A-F, or IP will be given. | Description Selected areas or specific problems in Egyptian, Near Eastern, Greek, or Roman Art. May be repeated for a maximum of 12 hours when topic varies. Grades of A-F, or IP will be given. May be repeated for a maximum of 12 hours when topic varies Grades of A-F, or IP will be given. | Description Topics and problems in Egyptian art and archaeology. May be repeated for a maximum of 12 hours when topic varies. May be repeated for a maximum of 12 hours when topic varies. | Description Selected areas or specific problems of Renaissance Art. May be repeated for a maximum of 12 hours when topic varies. Grades of A-F, or IP will be given. May be repeated for a maximum of 12 hours when topic varies Grades of A-F, or IP will be given. | Description Selected areas or specific problems in Pre-Columbian, North American Indian, Spanish Colonial, or American Art. May be repeated for a maximum of 12 hours when topic varies.Grades of A-F, or IP will be given. May be repeated for a maximum of 12 hours when topic varies. Grades of A-F, or IP will be given. | Description Individual investigation of special research problems or projects. May be repeated upon recommendation of advisor.Grades of A-F, or IP will be given. May be repeated upon recommendation of advisor. Grades of A-F, or IP will be given. | Description Architecture, sculpture, and painting from the Bronze Age to the end of the Hellenistic period. | (6167, 6168) Description (6167, 6168). American art examined in social, cultural, and historical contexts; presents broad range of creative expression, including fine and applied arts and popular culture, from conquest period to modern developments in American visual studies. | Description History of the discipline along with current research methods. Students develop research presentations in oral and written formats. | Description Preparation and defense of a thesis prepared under direction of major professor. Studio Art thesis requires an exhibition. Grades of S, U, or IP will be given. Grades of S, U, or IP will be given.",30.5
9,University of Memphis,Graduate,"Biomedical Engineering, (MS)",BIOM 7004 | BIOM 7005 | BIOM 7110 | BIOM 7209 | BIOM 7996 | BIOM 7991,Life Sciences Biom I | Life Sciences Biom II | Biostatistics | Biom Msrmnt/Instrmnt | Masters Thesis | Project I,"Description This introduction and application to aspects of the entire body provides engineers and physical scientists with an understanding of aspects of the chemical, physical, and mechanical basis of cell shape, function, and motility; integrated treatment of topics in cellular biochemistry, protein synthesis, energy releasing pathways, and membrane biophysics. | Description Continuation of 7004-8004. An introduction for engineers and physical scientists to aspects of systemic physiology with an emphasis on and connections to biomedical engineering. | Description Introduction to statistical techniques used for analysis of basic and clinical biomedical engineering data; sampling theory, hypothesis testing, ANOVA, and nonparametric techniques. | Description Measurement techniques applicable in biomedical engineering; data acquisition system, mechanical instrumentation, interface systems, signal analyses; biocompatibility requirements. | Description Grades of S, U, or IP will be given. Grades of S, U, or IP will be given. | Description Independent study in Biomedical Engineering on topic selected in conjunction with instructor. Oral and written reports required. May be used for curricular training as a part of an internship program. Grades of A-F, or IP will be given. Grades of A-F, or IP will be given.",09.14.
