,CIPCODE,CIPDESC,INSTNM
0,301,Natural Resources Conservation and Research.,University of Miami
1,301,Natural Resources Conservation and Research.,SUNY at Albany
2,301,Natural Resources Conservation and Research.,Oregon State University-Cascades Campus
3,301,Natural Resources Conservation and Research.,University of Southern California
4,301,Natural Resources Conservation and Research.,University of North Carolina Wilmington
5,301,Natural Resources Conservation and Research.,University of Nebraska-Lincoln
6,301,Natural Resources Conservation and Research.,Montana State University
7,301,Natural Resources Conservation and Research.,Rochester Institute of Technology
8,301,Natural Resources Conservation and Research.,Louisiana State University and Agricultural & Mechanical College
9,301,Natural Resources Conservation and Research.,California State University-Los Angeles
10,904,Journalism.,University of Southern California
11,904,Journalism.,Iowa State University
12,904,Journalism.,Ohio University-Main Campus
13,904,Journalism.,Carnegie Mellon University
14,904,Journalism.,St Bonaventure University
15,904,Journalism.,University of Maryland-College Park
16,904,Journalism.,Marshall University
17,904,Journalism.,CUNY Graduate School and University Center
18,904,Journalism.,University of Arkansas at Little Rock
19,904,Journalism.,University of South Carolina-Columbia
20,1107,Computer Science.,University of Hawaii at Manoa
21,1107,Computer Science.,Southern Methodist University
22,1107,Computer Science.,University of North Dakota
23,1107,Computer Science.,The University of Tennessee-Chattanooga
24,1107,Computer Science.,Florida Institute of Technology
25,1107,Computer Science.,Southern Illinois University-Edwardsville
26,1107,Computer Science.,Arizona State University Campus Immersion
27,1107,Computer Science.,Pennsylvania State University-Main Campus
28,1107,Computer Science.,San Francisco State University
29,1107,Computer Science.,Loyola University Chicago
30,1408,Civil Engineering.,Ohio State University-Main Campus
31,1408,Civil Engineering.,University of Hawaii at Manoa
32,1408,Civil Engineering.,California State University-Northridge
33,1408,Civil Engineering.,Cornell University
34,1408,Civil Engineering.,University of Illinois Chicago
35,1408,Civil Engineering.,Stevens Institute of Technology
36,1408,Civil Engineering.,University of Louisville
37,1408,Civil Engineering.,California State University-Fresno
38,1408,Civil Engineering.,Idaho State University
39,1408,Civil Engineering.,South Dakota School of Mines and Technology
40,1410,"Electrical, Electronics and Communications Engineering.",State University of New York at New Paltz
41,1410,"Electrical, Electronics and Communications Engineering.",Drexel University
42,1410,"Electrical, Electronics and Communications Engineering.",Wilkes University
43,1410,"Electrical, Electronics and Communications Engineering.",Colorado School of Mines
44,1410,"Electrical, Electronics and Communications Engineering.",Oklahoma State University-Main Campus
45,1410,"Electrical, Electronics and Communications Engineering.",Alfred University
46,1410,"Electrical, Electronics and Communications Engineering.",University of Tulsa
47,1410,"Electrical, Electronics and Communications Engineering.",Portland State University
48,1410,"Electrical, Electronics and Communications Engineering.",University of New Hampshire-Main Campus
49,1410,"Electrical, Electronics and Communications Engineering.",Yale University
50,1419,Mechanical Engineering.,Auburn University
51,1419,Mechanical Engineering.,Manhattan College
52,1419,Mechanical Engineering.,Boston University
53,1419,Mechanical Engineering.,Temple University
54,1419,Mechanical Engineering.,Naval Postgraduate School
55,1419,Mechanical Engineering.,Clarkson University
56,1419,Mechanical Engineering.,Rose-Hulman Institute of Technology
57,1419,Mechanical Engineering.,Syracuse University
58,1419,Mechanical Engineering.,Worcester Polytechnic Institute
59,1419,Mechanical Engineering.,Southern Methodist University
60,1435,Industrial Engineering.,Wichita State University
61,1435,Industrial Engineering.,New Jersey Institute of Technology
62,1435,Industrial Engineering.,University of Southern California
63,1435,Industrial Engineering.,Oklahoma State University-Main Campus
64,1435,Industrial Engineering.,Rensselaer Polytechnic Institute
